Country,City,Cloudiness,Humidity,Max Temp,Wind Speed,Degrees from Equator,Degrees from Prime Meridian
AE,Abu Dhabi,80.6,57.0,80.6,9.17,24.47,54.37
AF,Chaman,52.29,75.0,52.29,3.76,30.92,66.46
AO,Lobito,70.74,95.0,70.74,2.19,12.35,13.55
AO,Luena,63.72,94.0,63.72,2.64,11.78,19.91
AO,Menongue,71.1,65.0,71.1,5.32,14.66,17.68
AO,Namibe,76.59,100.0,76.59,8.34,15.19,12.15
AO,Soyo,75.96,97.0,75.96,4.32,6.13,12.37
AR,Barrow,52.02,73.0,52.02,8.46,38.31,60.23
AR,Comodoro Rivadavia,66.2,42.0,66.2,11.41,45.87,67.48
AR,Mar del Plata,61.29,57.0,61.29,7.78,46.43,67.52
AR,Pilar,64.96,63.0,66.2,11.41,34.46,58.91
AR,Rio Gallegos,59.0,47.0,59.0,6.93,51.62,69.22
AR,Salta,56.43,93.0,57.2,6.93,24.79,65.41
AR,San Luis,60.75,91.0,60.75,3.98,33.3,66.34
AR,San Rafael,58.45,55.0,58.45,5.99,34.61,68.33
AR,Ushuaia,53.6,66.0,53.6,5.82,54.81,68.31
AR,Viedma,56.88,61.0,56.88,10.8,40.81,62.99
AU,Adelaide,62.19,67.0,64.99,5.82,34.93,138.6
AU,Batemans Bay,56.91,65.0,62.01,3.0,35.71,150.18
AU,Bluff,83.83,57.0,83.83,9.24,23.58,149.07
AU,Busselton,53.89,48.0,55.99,14.5,33.64,115.35
AU,Byron Bay,69.75,94.0,73.0,12.75,28.65,153.62
AU,Cairns,78.85,78.0,82.99,5.82,16.92,145.77
AU,Carroll,68.79,52.0,69.8,17.22,30.99,150.44
AU,Charters Towers,79.11,87.0,79.11,7.9,20.07,146.27
AU,Codrington,68.49,94.0,69.8,12.75,28.95,153.24
AU,Colac,57.2,72.0,57.99,3.09,38.34,143.59
AU,Flinders,65.59,77.0,69.01,9.17,34.58,150.85
AU,Griffith,56.14,50.0,57.2,9.17,34.29,146.06
AU,Hervey Bay,79.3,88.0,82.0,6.93,25.3,152.85
AU,Hobart,55.89,50.0,57.99,10.29,42.88,147.33
AU,Jamestown,59.76,83.0,59.76,7.23,33.21,138.6
AU,Karratha,79.33,96.0,79.33,5.88,20.74,116.85
AU,Katherine,80.6,83.0,80.6,8.05,14.47,132.26
AU,Margate,55.31,54.0,57.99,8.05,43.03,147.26
AU,Moree,71.49,52.0,73.0,4.7,29.46,149.84
AU,Mount Gambier,55.4,87.0,55.4,4.7,37.83,140.78
AU,Mount Isa,75.2,100.0,75.2,13.87,20.73,139.49
AU,New Norfolk,55.89,50.0,57.99,10.29,42.78,147.06
AU,Nhulunbuy,82.4,88.0,82.4,11.25,12.18,136.78
AU,Port Keats,87.93,88.0,87.93,4.43,14.25,129.55
AU,Port Lincoln,64.03,93.0,64.03,4.21,34.72,135.86
AU,Swan Hill,61.56,87.0,61.56,5.21,35.34,143.56
AU,Ulladulla,60.46,77.0,62.01,9.17,35.36,150.48
AU,Victoria Point,70.54,83.0,73.0,8.05,27.58,153.3
AU,Yulara,60.8,44.0,60.8,6.93,25.24,130.99
BB,Bathsheba,78.8,74.0,78.8,18.34,13.22,59.52
BD,Lalmohan,73.08,93.0,73.08,12.15,22.34,90.74
BE,Gingelom,41.27,80.0,44.6,3.36,50.75,5.13
BF,Gaoua,79.47,72.0,79.47,7.45,10.33,3.18
BI,Rumonge,72.27,100.0,72.27,1.63,3.97,29.44
BJ,Cotonou,84.2,79.0,84.2,9.17,6.37,2.43
BM,Hamilton,68.9,88.0,69.8,19.46,32.3,64.78
BN,Victoria,77.68,94.0,78.8,4.21,5.28,115.24
BO,Challapata,41.98,88.0,41.98,4.43,18.9,66.78
BO,Puerto Suarez,90.46,66.0,91.4,4.7,18.96,57.8
BQ,Kralendijk,80.6,74.0,80.6,19.46,12.15,68.27
BR,Arraial do Cabo,78.8,69.0,78.8,4.7,22.97,42.02
BR,Boa Vista,93.2,36.0,93.2,10.29,2.82,60.67
BR,Cabedelo,75.2,94.0,75.2,5.82,6.97,34.84
BR,Careiro da Varzea,86.0,70.0,86.0,4.7,3.2,59.81
BR,Caxito,78.8,69.0,78.8,4.7,22.65,42.51
BR,Cidreira,67.45,82.0,67.45,6.55,30.17,50.22
BR,Frederico Westphalen,64.03,68.0,64.03,11.25,27.36,53.4
BR,Itacare,82.4,83.0,82.4,8.05,14.28,39.0
BR,Mineiros,75.87,71.0,75.87,7.67,17.57,52.55
BR,Navirai,74.34,68.0,74.34,8.46,23.07,54.19
BR,Piacabucu,79.83,85.0,79.83,7.23,10.41,36.43
BR,Pimentel,75.91,95.0,75.91,0.96,3.7,45.5
BR,Ponta do Sol,71.86,71.0,71.86,5.99,20.63,46.0
BR,Santa Maria,64.4,72.0,64.4,2.24,29.69,53.81
BR,Sao Joao da Barra,78.8,69.0,78.8,6.93,21.64,41.05
BR,Sao Miguel do Araguaia,72.99,95.0,72.99,4.99,13.28,50.16
BR,Touros,80.6,88.0,80.6,2.86,5.2,35.46
BR,Vera Cruz,75.42,64.0,75.42,3.98,22.22,49.82
BR,Vila Velha,80.55,83.0,81.0,2.24,3.71,38.6
CA,Aklavik,38.1,64.0,39.2,6.93,68.22,135.01
CA,Cap-aux-Meules,23.0,53.0,23.0,16.11,47.38,61.86
CA,Clyde River,-5.81,70.0,-5.81,5.82,70.47,68.59
CA,Flin Flon,44.6,52.0,44.6,8.05,54.77,101.88
CA,Fort Nelson,48.2,42.0,48.2,2.24,58.81,122.69
CA,Geraldton,37.4,25.0,37.4,13.87,49.72,86.95
CA,Goderich,33.13,76.0,35.01,5.01,43.74,81.71
CA,Haines Junction,38.7,47.0,38.7,2.64,60.75,137.51
CA,Husavik,35.47,86.0,36.0,5.99,50.56,96.99
CA,Iqaluit,-0.41,64.0,-0.41,17.22,63.75,68.52
CA,La Ronge,35.6,98.0,35.6,5.82,55.1,105.3
CA,Lac-Megantic,22.48,41.0,24.8,14.99,45.58,70.88
CA,Mackay,37.38,93.0,39.2,5.82,53.65,115.58
CA,Marathon,29.79,68.0,29.79,12.82,48.72,86.38
CA,Mattawa,32.95,37.0,33.8,13.87,46.32,78.7
CA,Norman Wells,39.2,64.0,39.2,9.17,65.28,126.83
CA,Pangnirtung,5.0,77.0,5.0,6.44,66.15,65.72
CA,Prince Rupert,50.0,71.0,50.0,10.29,54.32,130.32
CA,Saint-Philippe,30.11,36.0,30.99,3.36,45.36,73.48
CA,Sept-Iles,17.53,34.0,18.0,12.75,50.2,66.38
CA,Sioux Lookout,38.1,48.0,39.2,8.05,50.1,91.92
CA,Thompson,44.6,52.0,44.6,13.87,55.74,97.86
CA,Thunder Bay,41.23,28.0,42.8,17.22,48.41,89.26
CA,Torbay,24.46,67.0,26.01,10.29,47.66,52.73
CA,Tuktoyaktuk,19.4,92.0,19.4,9.17,69.44,133.03
CA,Whitehorse,42.21,45.0,43.0,9.17,60.72,135.06
CA,Yellowknife,29.39,68.0,30.2,13.87,62.45,114.38
CD,Basoko,75.15,91.0,75.15,2.64,1.23,23.61
CD,Yangambi,75.01,96.0,75.01,2.42,0.77,24.47
CI,Tiebissou,83.48,70.0,84.2,4.7,7.16,5.23
CK,Avarua,84.2,79.0,84.2,6.93,21.21,159.78
CL,Ancud,66.2,59.0,66.2,6.93,41.87,73.83
CL,Castro,66.2,59.0,66.2,6.93,42.48,73.76
CL,Coihaique,66.2,59.0,66.2,1.86,45.58,72.07
CL,Coquimbo,57.2,87.0,57.2,8.05,29.95,71.34
CL,Punta Arenas,52.18,71.0,53.6,16.11,53.16,70.91
CL,Taltal,62.01,81.0,62.01,1.19,25.41,70.49
CL,Villarrica,82.4,28.0,82.4,9.17,39.28,72.23
CM,Sangmelima,71.55,84.0,71.55,2.3,2.93,11.98
CM,Tchollire,76.45,60.0,76.45,2.86,8.4,14.17
CN,Bantou,57.01,92.0,57.01,2.75,26.22,117.49
CN,Baoding,57.15,40.0,57.15,2.98,38.86,115.49
CN,Fuxin,35.55,34.0,35.55,15.39,42.02,121.65
