,state,index_sa,TimePeriod
0,AK,100.0,1991Q1
1,AK,100.18,1991Q2
2,AK,101.16,1991Q3
3,AK,102.15,1991Q4
4,AK,102.39,1992Q1
5,AK,103.4,1992Q2
6,AK,104.0,1992Q3
7,AK,104.26,1992Q4
8,AK,104.76,1993Q1
9,AK,106.38,1993Q2
10,AK,107.18,1993Q3
11,AK,110.58,1993Q4
12,AK,110.63,1994Q1
13,AK,110.78,1994Q2
14,AK,111.98,1994Q3
15,AK,111.34,1994Q4
16,AK,114.32,1995Q1
17,AK,115.53,1995Q2
18,AK,116.96,1995Q3
19,AK,117.59,1995Q4
20,AK,120.67,1996Q1
21,AK,120.08,1996Q2
22,AK,120.08,1996Q3
23,AK,123.3,1996Q4
24,AK,122.73,1997Q1
25,AK,123.76,1997Q2
26,AK,124.39,1997Q3
27,AK,125.57,1997Q4
28,AK,125.7,1998Q1
29,AK,127.83,1998Q2
30,AK,129.07,1998Q3
31,AK,130.83,1998Q4
32,AK,131.95,1999Q1
33,AK,132.54,1999Q2
34,AK,133.39,1999Q3
35,AK,131.19,1999Q4
36,AK,133.57,2000Q1
37,AK,135.06,2000Q2
38,AK,136.63,2000Q3
39,AK,137.05,2000Q4
40,AK,140.35,2001Q1
41,AK,143.32,2001Q2
42,AK,145.35,2001Q3
43,AK,148.84,2001Q4
44,AK,149.45,2002Q1
45,AK,151.98,2002Q2
46,AK,156.15,2002Q3
47,AK,157.22,2002Q4
48,AK,160.38,2003Q1
49,AK,162.69,2003Q2
50,AK,164.79,2003Q3
51,AK,170.82,2003Q4
52,AK,175.63,2004Q1
53,AK,176.97,2004Q2
54,AK,183.26,2004Q3
55,AK,188.0,2004Q4
56,AK,193.18,2005Q1
57,AK,197.45,2005Q2
58,AK,204.42,2005Q3
59,AK,208.2,2005Q4
60,AK,212.65,2006Q1
61,AK,216.19,2006Q2
62,AK,218.08,2006Q3
63,AK,219.75,2006Q4
64,AK,222.95,2007Q1
65,AK,226.14,2007Q2
66,AK,224.34,2007Q3
67,AK,222.19,2007Q4
68,AK,219.19,2008Q1
69,AK,223.32,2008Q2
70,AK,221.27,2008Q3
71,AK,225.0,2008Q4
72,AK,226.05,2009Q1
73,AK,215.78,2009Q2
74,AK,215.03,2009Q3
75,AK,215.73,2009Q4
76,AK,215.44,2010Q1
77,AK,219.58,2010Q2
78,AK,222.16,2010Q3
79,AK,220.02,2010Q4
80,AK,225.27,2011Q1
81,AK,222.67,2011Q2
82,AK,224.06,2011Q3
83,AK,223.49,2011Q4
84,AK,218.41,2012Q1
85,AK,224.31,2012Q2
86,AK,227.08,2012Q3
87,AK,227.12,2012Q4
