state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,100.80,100.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,102.05,101.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.21,102.15,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.45,102.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,104.03,103.40,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,104.92,104.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.21,104.26,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.94,104.76,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,107.05,106.38,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,108.06,107.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.44,110.58,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,110.94,110.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,111.54,110.78,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.78,111.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.19,111.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.68,114.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.41,115.53,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.69,116.96,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.44,117.59,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,121.00,120.67,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,121.11,120.08,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.80,120.08,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.18,123.30,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,122.91,122.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,124.94,123.76,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.20,124.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,4,125.44,125.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,1,125.66,125.70,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,2,129.17,127.83,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,3,130.02,129.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,4,130.70,130.83,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,1,131.67,131.95,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,2,133.97,132.54,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,3,134.62,133.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,4,130.96,131.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,1,133.18,133.57,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,2,136.50,135.06,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,3,138.08,136.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,4,136.71,137.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,1,139.94,140.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,2,144.76,143.32,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,3,147.04,145.35,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,4,148.41,148.84,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,1,149.06,149.45,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,2,153.42,151.98,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
